author_id,name,votes
2695,Mordicai Gerstein,17
2696,Maryann Macdonald,1
2697,Henry Wadsworth Longfellow,11
2713,E.L. Konigsburg,51
2715,Michael Chabon,28
2716,Glen David Gold,5
2718,Howard Chaykin,3
2719,Bill Sienkiewicz,1
2722,Eric Wight,1
2724,Gill Harvey,1
2726,Heather Amery,10
2727,Katie Daynes,6
2730,Claire Llewellyn,7
2735,Samuel Shem,3
2737,Max Lucado,97
2740,Edward Norman,1
2742,Kiana Davenport,3
2745,Phyllis Eisenstein,4
2746,Theodora Kroeber,1
2749,Scott Turow,18
2751,Bret Easton Ellis,19
2753,Julian Murphet,1
2760,Keith M. Parsons,1
2761,Ann Coulter,6
2762,Pete Hautman,21
2763,Erik J. Wielenberg,1
2764,Richard Holloway,4
2766,Peter Gay,10
2767,Ronald B. Flowers,1
2768,Eric M. Jackson,1
2769,Neil Clark Warren,4
2772,Richard Webster,13
2776,Elizabeth Clare Prophet,10
2780,Kathy Freston,2
2782,Viktor E. Frankl,5
2783,Robert S. McGee,2
2784,Charles Timmerman,2
2787,Vincent Douglas,1
2788,Eric R. Kandel,1
2791,Peter Kent,5
2797,Scot Wingo,1
2798,Michael Miller,5
2799,Dennis Prince,1
2801,Barbara Weltman,1
2803,Charlene Davis,1
2814,Johanna Rothman,1
2815,Andy Hunt,1
2817,Venkat Subramaniam,1
2821,Tim Footman,1
2824,Roger Sales,1
2826,James C. Collins,4
2828,Roderick Townley,6
2829,Mark Jacobs,1
2831,Ray Oldenburg,3
2832,Julee Rosso,3
2838,Roger Fisher,1
2839,William Ury,5
2842,Gene Bedell,1
2847,Drew,1
2848,Amy Sedaris,2
2849,David Sedaris,15
2850,Ben Mezrich,16
2852,Charley Rosen,2
2861,Pat Williams,4
2862,Bill Bradley,4
2864,Efrem Smith,1
2865,Eric Blehm,2
2866,Tom Stanton,3
2868,Angela Lambert,4
2869,Roy MacGregor,21
2870,Michael Shapiro,3
2872,Ronald Florence,1
2876,Richard Woodley,1
2879,Kenneth M. Jennings,1
2887,James Ellroy,41
2890,Ralph Freedman,1
2894,Bernhard Schlink,3
2900,Hans Blumenberg,1
2908,Robert A. Wilson,2
2911,Larry Burkett,10
2913,Jim Keith,3
2915,William Henry,1
2918,Robert Anton Wilson,12
2919,Alan Butler,1
2920,Christopher Knight,1
2924,David Morris,3
2926,Peter Caine,2
2929,Nick Hornby,33
2931,Ruth Downie,5
2934,Noah Gordon,9
2937,Paul Goodman,1
2943,Carl Seaburg,1
2951,William C. Dowling,1
2955,Anthony Kiedis,3
2960,Wayne W. Dyer,42
2966,Dennis Hopper,2
2968,Earnie Larsen,1
2970,Ethan Hawke,2
2974,Ibrahim Nasrallah,1
2976,Éric-Emmanuel Schmitt,24
2978,Saniyasnain Khan,1
2986,Santo Cilauro,1
2987,Sarah Dessen,23
2988,Jim DeFelice,2
2989,Dale Brown,25
2990,Todd Schorr,1
2991,Sandy Petersen,1
2994,Aidan Hartley,3
2995,Anderson Cooper,3
2996,Michael Herr,5
2998,Bentley Little,22
3000,Suzanne Stefanac,1
3001,Faulkner Fox,2
3004,Robert Siegel,1
3006,Ian Whybrow,13
3007,John Falk,2
3009,Melinda Luke,1
3010,Kimberly Weinberger,3
